Energy;IntFlux;DiffFlux
1.00000e-01;4.88680e-06;2.69289e+00
1.01474e-01;4.90151e-06;2.69289e+00
1.02970e-01;4.91654e-06;2.69289e+00
1.04488e-01;4.93188e-06;2.69289e+00
1.06029e-01;4.94755e-06;2.69289e+00
1.07592e-01;4.96355e-06;2.69289e+00
1.09178e-01;4.97989e-06;2.69289e+00
1.10788e-01;4.99659e-06;2.69289e+00
1.12421e-01;5.01364e-06;2.69289e+00
1.14079e-01;5.03107e-06;2.69289e+00
1.15761e-01;5.04887e-06;2.69289e+00
1.17467e-01;5.06706e-06;2.69289e+00
1.19199e-01;5.08567e-06;2.69289e+00
1.20957e-01;5.10367e-06;2.69289e+00
1.22740e-01;5.12120e-06;2.69289e+00
1.24550e-01;5.13912e-06;2.69289e+00
1.26386e-01;5.15742e-06;2.69289e+00
1.28249e-01;5.17613e-06;2.69289e+00
1.30140e-01;5.19525e-06;2.69289e+00
1.32059e-01;5.21481e-06;2.69289e+00
1.34006e-01;5.23480e-06;2.69289e+00
1.35981e-01;5.25523e-06;2.69289e+00
1.37986e-01;5.27614e-06;2.69289e+00
1.40020e-01;5.29752e-06;2.69289e+00
1.42085e-01;5.31941e-06;2.69289e+00
1.44180e-01;5.34180e-06;2.69289e+00
1.46305e-01;5.36470e-06;2.69289e+00
1.48462e-01;5.38815e-06;2.69289e+00
1.50651e-01;5.41089e-06;2.69289e+00
1.52872e-01;5.43109e-06;2.69289e+00
1.55126e-01;5.45175e-06;2.69289e+00
1.57413e-01;5.47287e-06;2.69289e+00
1.59734e-01;5.49447e-06;2.69289e+00
1.62089e-01;5.51656e-06;2.69289e+00
1.64478e-01;5.53916e-06;2.69289e+00
1.66903e-01;5.56228e-06;2.69289e+00
1.69364e-01;5.58595e-06;2.69289e+00
1.71861e-01;5.61016e-06;2.69289e+00
1.74395e-01;5.63496e-06;2.69289e+00
1.76966e-01;5.66034e-06;2.69289e+00
1.79575e-01;5.68633e-06;2.69289e+00
1.82223e-01;5.71295e-06;2.69289e+00
1.84909e-01;5.74021e-06;2.69289e+00
1.87635e-01;5.76814e-06;2.69289e+00
1.90402e-01;5.79678e-06;2.69289e+00
1.93209e-01;5.82612e-06;2.69289e+00
1.96057e-01;5.85619e-06;2.69289e+00
1.98948e-01;5.88704e-06;2.69289e+00
2.01881e-01;5.91460e-06;2.69289e+00
2.04857e-01;5.94051e-06;2.69289e+00
2.07878e-01;5.96705e-06;2.69289e+00
2.10942e-01;5.99421e-06;2.69289e+00
2.14052e-01;6.02202e-06;2.69289e+00
2.17208e-01;6.05052e-06;2.69289e+00
2.20410e-01;6.07970e-06;2.69289e+00
2.23660e-01;6.10962e-06;2.69289e+00
2.26957e-01;6.14026e-06;2.69289e+00
2.30304e-01;6.17169e-06;2.69289e+00
2.33699e-01;6.20390e-06;2.69289e+00
2.37144e-01;6.23693e-06;2.69289e+00
2.40641e-01;6.27082e-06;2.69289e+00
2.44189e-01;6.30558e-06;2.69289e+00
2.47789e-01;6.34125e-06;2.69289e+00
2.51442e-01;6.37548e-06;2.69289e+00
2.55149e-01;6.40687e-06;2.69289e+00
2.58911e-01;6.43904e-06;2.69289e+00
2.62728e-01;6.47200e-06;2.69289e+00
2.66601e-01;6.50580e-06;2.69289e+00
2.70532e-01;6.54047e-06;2.69289e+00
2.74520e-01;6.57602e-06;2.69289e+00
2.78568e-01;6.61251e-06;2.69289e+00
2.82675e-01;6.64994e-06;2.69289e+00
2.86842e-01;6.68835e-06;2.69289e+00
2.91071e-01;6.72779e-06;2.69289e+00
2.95362e-01;6.76829e-06;2.69289e+00
2.99717e-01;6.80989e-06;2.69289e+00
3.04136e-01;6.84460e-06;2.69289e+00
3.08620e-01;6.87961e-06;2.69289e+00
3.13170e-01;6.91551e-06;2.69289e+00
3.17787e-01;6.95231e-06;2.69289e+00
3.22472e-01;6.99007e-06;2.69289e+00
3.27226e-01;7.02880e-06;2.69289e+00
3.32051e-01;7.06855e-06;2.69289e+00
3.36946e-01;7.10934e-06;2.69289e+00
3.41914e-01;7.15122e-06;2.69289e+00
3.46955e-01;7.19423e-06;2.69289e+00
3.52070e-01;7.23840e-06;2.69289e+00
3.57261e-01;7.28378e-06;2.69289e+00
3.62528e-01;7.33041e-06;2.69289e+00
3.67873e-01;7.37835e-06;2.69289e+00
3.73296e-01;7.42763e-06;2.69289e+00
3.78800e-01;7.47832e-06;2.69289e+00
3.84385e-01;7.53047e-06;2.69289e+00
3.90052e-01;7.58414e-06;2.69289e+00
3.95802e-01;7.63938e-06;2.69289e+00
4.01638e-01;7.69266e-06;2.69289e+00
4.07559e-01;7.73795e-06;2.69289e+00
4.13568e-01;7.78447e-06;2.69289e+00
4.19665e-01;7.83225e-06;2.69289e+00
4.25852e-01;7.88133e-06;2.69289e+00
4.32131e-01;7.93178e-06;2.69289e+00
4.38502e-01;7.98363e-06;2.69289e+00
4.44967e-01;8.03694e-06;2.69289e+00
4.51527e-01;8.09177e-06;2.69289e+00
4.58184e-01;8.14818e-06;2.69289e+00
4.64939e-01;8.20623e-06;2.69289e+00
4.71794e-01;8.26599e-06;2.69289e+00
4.78749e-01;8.32751e-06;2.69289e+00
4.85808e-01;8.39090e-06;2.69289e+00
4.92970e-01;8.45621e-06;2.69289e+00
5.00238e-01;8.52309e-06;2.69289e+00
5.07613e-01;8.57874e-06;2.69289e+00
5.15097e-01;8.63596e-06;2.69289e+00
5.22691e-01;8.69480e-06;2.69289e+00
5.30397e-01;8.75534e-06;2.69289e+00
5.38217e-01;8.81763e-06;2.69289e+00
5.46152e-01;8.88176e-06;2.69289e+00
5.54204e-01;8.94779e-06;2.69289e+00
5.62375e-01;9.01581e-06;2.69289e+00
5.70666e-01;9.08590e-06;2.69289e+00
5.79079e-01;9.15813e-06;2.69289e+00
5.87617e-01;9.23262e-06;2.69289e+00
5.96280e-01;9.30945e-06;2.69289e+00
6.05071e-01;9.38051e-06;2.69289e+00
6.13992e-01;9.44754e-06;2.69289e+00
6.23044e-01;9.51653e-06;2.69289e+00
6.32230e-01;9.58758e-06;2.69289e+00
6.41551e-01;9.66077e-06;2.69289e+00
6.51010e-01;9.73619e-06;2.69289e+00
6.60607e-01;9.81392e-06;2.69289e+00
6.70347e-01;9.89409e-06;2.69289e+00
6.80230e-01;9.97678e-06;2.69289e+00
6.90259e-01;1.00621e-05;2.69289e+00
7.00435e-01;1.01496e-05;2.69289e+00
7.10762e-01;1.02262e-05;2.69289e+00
7.21241e-01;1.03050e-05;2.69289e+00
7.31874e-01;1.03863e-05;2.69289e+00
